id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
0-000000000178,1696034820.7901838,1696034839.812597,19.02240998,1696034820.8021061,1696034839.8098722,19.007761124,1696034820.8429537,1696034839.8096795,18.966369989
1-000000000001,1696034839.8130553,1696034858.914591,19.10153173,1696034839.819026,1696034858.9124277,19.093396934,1696034839.872363,1696034858.9123242,19.039589607
2-000000000276,1696034858.915008,1696034877.4064305,18.491419303,1696034858.9208727,1696034877.4045875,18.483710997,1696034858.9665225,1696034877.4044669,18.437294037
3-000000000549,1696034877.4069521,1696034896.078923,18.671967548,1696034877.413309,1696034896.077328,18.6640161,1696034877.4676986,1696034896.0772352,18.609222729
4-000000000718,1696034896.079275,1696034914.7944913,18.715213076,1696034896.0846493,1696034914.7920232,18.707371026,1696034896.0915344,1696034914.791917,18.699899833
5-000000011517,1696034914.795167,1696034933.3905401,18.595369778,1696034914.8009381,1696034933.3878465,18.586905136,1696034914.8068225,1696034933.3877368,18.580623861
6-000000000570,1696034933.392401,1696034953.2903442,19.897939545,1696034933.399405,1696034953.2885675,19.889159814,1696034933.4099336,1696034953.2884703,19.878197952
7-000000000694,1696034953.290819,1696034972.1827602,18.891937594,1696034953.296316,1696034972.1811996,18.884880743,1696034953.3026261,1696034972.1810973,18.878068175
8-000000000771,1696034972.183128,1696034990.7956412,18.612510377,1696034972.1891363,1696034990.7938879,18.604748285,1696034972.1946335,1696034990.7937872,18.598852897
9-000000001371,1696034990.7960932,1696035009.7888,18.992704,1696034990.8036373,1696035009.7870224,18.983381458,1696034990.8188467,1696035009.7869284,18.967879427
10-000000007242,1696035009.7891922,1696035028.4819937,18.692798359,1696035009.7949145,1696035028.4801292,18.685211728,1696035009.8008573,1696035028.479924,18.678675385
11-000000012287,1696035028.4825332,1696035047.210542,18.728005824,1696035028.4910557,1696035047.2088337,18.717774719,1696035028.4977906,1696035047.2087293,18.710617498
12-000000018852,1696035047.2113907,1696035065.8962631,18.684869155,1696035047.223721,1696035065.8944838,18.670759877,1696035047.2669492,1696035065.8943532,18.627072221
13-000000000535,1696035065.897184,1696035084.3993676,18.502180144,1696035065.9046183,1696035084.397012,18.492390538,1696035065.9249759,1696035084.3969142,18.471418545
14-000000020674,1696035084.3998358,1696035103.0064778,18.606638437,1696035084.406279,1696035103.00451,18.598227681,1696035084.4130757,1696035103.004398,18.591012474
15-000000114471,1696035103.006888,1696035121.7157285,18.708837796,1696035103.014414,1696035121.7100806,18.695663223,1696035103.0254416,1696035121.7099814,18.68434592
16-000000027473,1696035121.7161906,1696035140.67944,18.963246469,1696035121.7229192,1696035140.6767962,18.953873913,1696035121.731354,1696035140.6766772,18.944924669
17-000000020717,1696035140.6798246,1696035159.2155507,18.535723343,1696035140.6867397,1696035159.2139678,18.527225201,1696035140.6948152,1696035159.2138762,18.518714152
18-000000033030,1696035159.2161703,1696035177.4001863,18.184013166,1696035159.2256072,1696035177.398528,18.172917523,1696035159.285241,1696035177.3984308,18.112943762
19-000000569105,1696035177.400785,1696035196.2040029,18.803215323,1696035177.407196,1696035196.2022934,18.79509397,1696035177.4145215,1696035196.2021985,18.787241914
20-000000568423,1696035196.204388,1696035214.77297,18.568577661,1696035196.2101126,1696035214.7712247,18.561108944,1696035196.215402,1696035214.7711253,18.555342653
21-000000219090,1696035214.7733927,1696035233.301592,18.52819664,1696035214.7787576,1696035233.2998953,18.521134574,1696035214.7844646,1696035233.2998376,18.515036203
22-000000020503,1696035233.3020637,1696035252.2804213,18.97835505,1696035233.3108904,1696035252.2781694,18.96727533,1696035233.3162062,1696035252.2780683,18.961604233
23-000000576217,1696035252.2807574,1696035270.995073,18.714312243,1696035252.2857838,1696035270.9934177,18.707630641,1696035252.2940636,1696035270.9933128,18.698936872
24-000000105659,1696035270.995448,1696035289.493499,18.498048282,1696035271.0078924,1696035289.4919107,18.484015302,1696035271.017807,1696035289.4917982,18.473690101
25-000000560759,1696035289.4965532,1696035308.0902128,18.593656111,1696035289.5058994,1696035308.0878708,18.581968634,1696035289.514662,1696035308.0877442,18.572769583
26-000000571463,1696035308.090626,1696035326.6960819,18.605452775,1696035308.0979688,1696035326.6943731,18.596401114,1696035308.1042736,1696035326.6942585,18.589610369
27-000000579670,1696035326.6964855,1696035345.306426,18.609937186,1696035326.7021208,1696035345.30449,18.602366634,1696035326.7078714,1696035345.3043728,18.596201424
28-000000576965,1696035345.3068938,1696035364.077726,18.77082889,1696035345.3217537,1696035364.0758815,18.754124341,1696035345.346019,1696035364.0757568,18.729418978
29-000000574730,1696035364.0781288,1696035382.7835553,18.705424078,1696035364.0849903,1696035382.7812355,18.696242123,1696035364.0900197,1696035382.7811205,18.690785362
