id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
21-000000219090,1695567080.050742,1695567084.9061024,4.855357434,1695567080.2110682,1695567084.9021225,4.691049136,1695567080.216736,1695567084.9020107,4.685061996
5-000000011517,1695567079.9589653,1695567084.9134285,4.954460201,1695567080.2029219,1695567084.909618,4.706691678,1695567080.208558,1695567084.909504,4.700732099
25-000000560759,1695567080.0649714,1695567084.9210198,4.85604528,1695567080.2150593,1695567084.9176528,4.70258863,1695567080.2199183,1695567084.9175444,4.697413545
28-000000576965,1695567080.0812824,1695567084.9249723,4.843687111,1695567080.2105393,1695567084.9153244,4.704780582,1695567080.2165403,1695567084.9152179,4.698467799
14-000000020674,1695567080.0120637,1695567084.9299257,4.917858323,1695567080.2169094,1695567084.9262557,4.709340922,1695567080.2227728,1695567084.92614,4.7031636
2-000000000276,1695567079.9474926,1695567084.9420662,4.994570568,1695567080.2019434,1695567084.9383962,4.73644126,1695567080.2069652,1695567084.938328,4.731138677
3-000000000549,1695567079.9512873,1695567084.9590168,5.007726751,1695567080.205118,1695567084.9558997,4.750776549,1695567080.2101836,1695567084.9557836,4.745403782
9-000000001371,1695567079.9804204,1695567084.960126,4.979702822,1695567080.2130873,1695567084.9569185,4.743826205,1695567080.2196913,1695567084.956811,4.736904659
8-000000000771,1695567079.9765503,1695567084.9616637,4.985110383,1695567080.214554,1695567084.957419,4.742860183,1695567080.2195454,1695567084.9573603,4.737599798
4-000000000718,1695567079.9557185,1695567084.9628742,5.007153213,1695567080.203065,1695567084.9586232,4.755225199,1695567080.2078714,1695567084.9585083,4.750057364
10-000000007242,1695567079.988023,1695567084.9866083,4.99858219,1695567080.2004786,1695567084.9823723,4.781889671,1695567080.2062933,1695567084.9822562,4.775745496
12-000000018852,1695567079.9972296,1695567084.9981072,5.000874647,1695567080.205075,1695567084.9918115,4.786731083,1695567080.2105088,1695567084.9916918,4.780964451
20-000000568423,1695567080.046575,1695567085.001855,4.955276924,1695567080.2062073,1695567084.9977748,4.791562748,1695567080.2108378,1695567084.9976587,4.786614822
16-000000027473,1695567080.0273745,1695567085.0047135,4.977335733,1695567080.4329038,1695567085.0010316,4.568122923,1695567080.4392529,1695567085.0009682,4.561522244
26-000000571463,1695567080.0681186,1695567085.0094154,4.941294244,1695567080.2097156,1695567085.0037537,4.794033012,1695567080.2151515,1695567085.0036602,4.788298666
0-000000000178,1695567079.9380424,1695567085.03894,5.100893427,1695567080.2030275,1695567085.0354075,4.832374845,1695567080.208515,1695567085.0352943,4.826565699
15-000000114471,1695567080.019115,1695567085.0452983,5.02617953,1695567080.2129095,1695567085.0417793,4.82886345,1695567080.2194104,1695567085.041658,4.822031251
13-000000000535,1695567080.0031276,1695567085.0811574,5.078025087,1695567080.2066276,1695567085.0781262,4.871164483,1695567080.2142959,1695567085.0780108,4.863176845
11-000000012287,1695567079.992489,1695567085.082415,5.089922819,1695567080.4210453,1695567085.0788045,4.657754308,1695567080.4263396,1695567085.0787,4.652155333
23-000000576217,1695567080.0587292,1695567085.1025615,5.043829149,1695567080.2071028,1695567085.09842,4.891312482,1695567080.2121296,1695567085.0982974,4.885953816
19-000000569105,1695567080.0415485,1695567085.1081345,5.066582165,1695567080.223897,1695567085.1002057,4.87630346,1695567080.230186,1695567085.1001425,4.869747763
22-000000020503,1695567080.054977,1695567085.1146967,5.059716432,1695567080.212419,1695567085.1094446,4.897020293,1695567080.2180457,1695567085.1093163,4.891050664
27-000000579670,1695567080.0721283,1695567085.1195917,5.047460583,1695567080.2100534,1695567085.114794,4.904736059,1695567080.2157352,1695567085.1146266,4.898680945
1-000000000001,1695567079.9437325,1695567085.134895,5.191159071,1695567080.2108223,1695567085.1303358,4.919508402,1695567080.2189438,1695567085.1302261,4.911048932
17-000000020717,1695567080.0326245,1695567085.1808264,5.148198997,1695567080.211128,1695567085.1684387,4.957306019,1695567080.216321,1695567085.1683233,4.951788653
7-000000000694,1695567079.9719381,1695567085.1981955,5.22625402,1695567080.2140908,1695567085.1944642,4.980367488,1695567080.2200046,1695567085.194399,4.974181269
29-000000574730,1695567080.0912857,1695567085.2583313,5.167042536,1695567080.2077854,1695567085.253403,5.045612023,1695567080.212347,1695567085.253285,5.040717062
6-000000000570,1695567079.9629445,1695567085.2839372,5.320990042,1695567080.2234006,1695567085.2804148,5.057008275,1695567080.2328289,1695567085.2803168,5.047276092
18-000000033030,1695567080.0358624,1695567085.295754,5.259888569,1695567080.2137208,1695567085.2922835,5.078557693,1695567080.2208571,1695567085.2921634,5.070980961
24-000000105659,1695567080.0619924,1695567085.3138576,5.251861701,1695567080.2072635,1695567085.3101773,5.102908645,1695567080.2124746,1695567085.3100545,5.097363023
