id,runtime_start_time,runtime_end_time,runtime_latency,response_start_time,response_end_time,response_latency,detection_start_time,detection_end_time,detection_latency
27-000000579670,1695567156.4221683,1695567158.5451112,2.122939874,1695567156.5317922,1695567158.541466,2.00966996,1695567156.5367193,1695567158.5413716,2.004462685
3-000000000549,1695567156.3121397,1695567158.5675173,2.2553747,1695567156.5286918,1695567158.5638816,2.035184912,1695567156.533562,1695567158.5637734,2.030021153
16-000000027473,1695567156.3771818,1695567158.5764792,2.199294087,1695567156.5315576,1695567158.573237,2.041674818,1695567156.537116,1695567158.573108,2.035790069
26-000000571463,1695567156.4188578,1695567158.5939453,2.175084991,1695567156.5340784,1695567158.591051,2.056967934,1695567156.5389767,1695567158.590947,2.05177703
6-000000000570,1695567156.3223932,1695567158.6193333,2.296937588,1695567156.5327153,1695567158.6160693,2.083348475,1695567156.5408478,1695567158.615981,2.07494431
1-000000000001,1695567156.3054998,1695567158.6431363,2.337633093,1695567156.5318491,1695567158.639492,2.107638564,1695567156.5370188,1695567158.6394293,2.102195205
23-000000576217,1695567156.4102807,1695567158.6738172,2.263533307,1695567156.5274882,1695567158.6688836,2.141390299,1695567156.532248,1695567158.6687772,2.136320098
25-000000560759,1695567156.4160945,1695567158.6920943,2.275996613,1695567156.530068,1695567158.6884475,2.158374931,1695567156.534677,1695567158.6883328,2.153447727
13-000000000535,1695567156.3550847,1695567158.6987739,2.343685954,1695567156.5285964,1695567158.6956103,2.167008369,1695567156.5360289,1695567158.6955078,2.159269722
17-000000020717,1695567156.3853734,1695567158.7139785,2.328601098,1695567156.5284429,1695567158.7104115,2.181963418,1695567156.5333023,1695567158.710302,2.176792468
20-000000568423,1695567156.3995585,1695567158.7230077,2.323446101,1695567156.5357568,1695567158.719373,2.183610376,1695567156.540198,1695567158.71926,2.178847826
8-000000000771,1695567156.334933,1695567158.7314274,2.396491238,1695567156.531877,1695567158.727555,2.195672845,1695567156.537245,1695567158.7274423,2.189980334
2-000000000276,1695567156.3089728,1695567158.7324781,2.423502701,1695567156.5268946,1695567158.7286332,2.201733894,1695567156.532017,1695567158.728538,2.196307024
4-000000000718,1695567156.3157082,1695567158.7387047,2.422994015,1695567156.51814,1695567158.73538,2.217235152,1695567156.5229998,1695567158.735271,2.212064988
19-000000569105,1695567156.3951824,1695567158.7402184,2.345033032,1695567156.5355775,1695567158.7364447,2.200862665,1695567156.5420165,1695567158.7363806,2.194130843
14-000000020674,1695567156.36327,1695567158.7489858,2.385712655,1695567156.5272627,1695567158.7459154,2.218646859,1695567156.5330913,1695567158.7458005,2.212496931
0-000000000178,1695567156.2987738,1695567158.759995,2.461217973,1695567156.5287504,1695567158.7561803,2.227424641,1695567156.5343642,1695567158.756069,2.221497042
7-000000000694,1695567156.3305511,1695567158.7709029,2.440347622,1695567156.5321174,1695567158.7661092,2.233987107,1695567156.5392005,1695567158.765998,2.226575273
9-000000001371,1695567156.337965,1695567158.7832453,2.445277396,1695567156.5355682,1695567158.7795172,2.243777921,1695567156.5433688,1695567158.779391,2.23561121
24-000000105659,1695567156.413258,1695567158.7876928,2.374429255,1695567156.5334485,1695567158.7801814,2.246727609,1695567156.5383718,1695567158.7800105,2.241434037
21-000000219090,1695567156.402661,1695567158.7922866,2.389622129,1695567156.529157,1695567158.7871218,2.257959704,1695567156.5346115,1695567158.7870064,2.252177058
12-000000018852,1695567156.351072,1695567158.7934492,2.442375025,1695567156.5297687,1695567158.7882628,2.258488403,1695567156.5352643,1695567158.788142,2.252668492
10-000000007242,1695567156.343267,1695567158.801382,2.4581112,1695567156.520436,1695567158.7983873,2.277946296,1695567156.5254445,1695567158.7982705,2.272613126
15-000000114471,1695567156.3675086,1695567158.810828,2.44331563,1695567156.5303967,1695567158.8043861,2.273983943,1695567156.5369198,1695567158.8042672,2.267129173
5-000000011517,1695567156.3188436,1695567158.8160455,2.497199448,1695567156.5305123,1695567158.8125381,2.282020743,1695567156.536139,1695567158.8124394,2.276091411
18-000000033030,1695567156.3883624,1695567158.8368773,2.448511922,1695567156.534209,1695567158.8341725,2.299958263,1695567156.5427113,1695567158.8340552,2.291125706
28-000000576965,1695567156.425919,1695567158.8379405,2.412018998,1695567156.5433502,1695567158.8347535,2.291398501,1695567156.549424,1695567158.8346407,2.284998674
29-000000574730,1695567156.4302378,1695567158.8788652,2.448624216,1695567156.7340024,1695567158.8747628,2.140755637,1695567156.7383308,1695567158.8746548,2.136115445
22-000000020503,1695567156.4069917,1695567158.9471862,2.54019084,1695567156.5294592,1695567158.9443755,2.414912,1695567156.5347812,1695567158.944266,2.409198712
11-000000012287,1695567156.346276,1695567159.0271297,2.680850123,1695567156.5306213,1695567159.023105,2.492479078,1695567156.5361283,1695567159.0230033,2.486643775
